;;;;;;;;;;;;;x
AFR_liberal;Reform Faction;Faction de rÈforme;Verbesserung Fraktion;;;;;;;;;;;;x;;;;;;;;;;;;;;
AFR_prussian_constitutionalism;African Empire;;;;;;;;;;;;;x
AFR_reactionary;Military Faction;Faction militaire;Milit‰rische Fraktion;;;;;;;;;;;;x;;;;;;;;;;;;;;
AFR_socialist;People's Faction;Faction populaire;Volk Fraktion;;;;;;;;;;;;x;;;;;;;;;;;;;;
AFU;African Union;;;;;;;;;;;;x 
AFU_absolute_monarchy;African Empire;;;;;;;;;;;;x 
AFU_ADJ;African;;;;;;;;;;;;x 
AFU_democracy;African Republic;;;;;;;;;;;;x 
AFU_hms_government;United African Empire;;;;;;;;;;;;x
AFU_prussian_constitutionalism;United African Empire;;;;;;;;;;;;x 
AGC;Angoche;;;;;;;;;;;;;
AGC_ADJ;Angochen;;;;;;;;;;;;;
AGC_anarcho_liberal;Radical Faction;;;;;;;;;;;;;
AGC_communist;Communist Party;;;;;;;;;;;;;
AGC_conservative;Sultan's Faction;;;;;;;;;;;;;
AGC_fascist;Fascist Faction;;;;;;;;;;;;;
AGC_liberal;Reform Faction;;;;;;;;;;;;;
AGC_reactionary;Islamic faction;;;;;;;;;;;;;
AGC_socialist;Socialist Party;;;;;;;;;;;;;
AIN;Ainu;;;;;;;;;;;;;x
AIN_absolute_monarchy;Ainu Mosir;;;;;;;;;;;;;x
AIN_ADJ;Ainu;;;;;;;;;;;;;x
AIN_anarcho_liberal;Radical Faction;;;;;;;;;;;;;x
AIN_communist;Communist Faction;;;;;;;;;;;;;x
AIN_conservative;Conservatist Faction;;;;;;;;;;;;;x
AIN_fascist;Fascist faction;;;;;;;;;;;;;x
AIN_liberal;Reformist Faction;;;;;;;;;;;;;x
AIN_reactionary;Nationalist Faction;;;;;;;;;;;;;x
AIN_socialist;Progressive Faction;;;;;;;;;;;;;x
AKH;Astrakhan;;;;;;;;;;;;;
AKH;Astrakhan;;;;;;;;;;;;x
AKH_ADJ;Astrakhan;;;;;;;;;;;;;
AKH_ADJ;Astrakhan;;;;;;;;;;;;x
AKH_anarcho_liberal;The Libertains;Faction radicale;Die radikale Fraktion;;;;;;;;;;;
AKH_anarcho_liberal;The Libertains;Faction radicale;Die radikale Fraktion;;;;;;;;;;;x
AKH_communist;The Communists;Faction communiste;Die kommunistische Fraktion;;;;;;;;;;;
AKH_communist;The Communists;Faction communiste;Die kommunistische Fraktion;;;;;;;;;;;x
AKH_conservative;The Conservatives;Faction royale;Kˆnigsfraktion;;;;;;;;;;;
AKH_conservative;The Conservatives;Faction royale;Kˆnigsfraktion;;;;;;;;;;;x
AKH_fascist;The Mongolian Faction;Faction fasciste;Die faschistische Fraktion;;;;;;;;;;;
AKH_fascist;The Mongolian Faction;Faction fasciste;Die faschistische Fraktion;;;;;;;;;;;x
AKH_liberal;The Liberals;Faction libÈrale;Die liberale Fraktion;;;;;;;;;;;
AKH_liberal;The Liberals;Faction libÈrale;Die liberale Fraktion;;;;;;;;;;;x
AKH_reactionary;The Khanate Faction;Faction nationaliste;Die nationalistische Fraktion;;;;;;;;;;;
AKH_reactionary;The Khanate Faction;Faction nationaliste;Die nationalistische Fraktion;;;;;;;;;;;x
AKH_socialist;The Socialists;Faction socialiste;Die sozialistische Fraktion;;;;;;;;;;;
AKH_socialist;The Socialists;Faction socialiste;Die sozialistische Fraktion;;;;;;;;;;;x
alaskan;Alaskan;;;;;;;;;;;;;
ALB_communist;Partia e PunÎs e ShqipÎrisÎ;;;;;;;;;;;;;
ALB_conservative;LÎvizja Legalitetit;;;;;;;;;;;;;
ALB_fascist;Partia Fashiste e ShqipÎrisÎ;;;;;;;;;;;;;
ALS;Elsass;;;;;;;;;;;;;
ALS;Elsass;;;;;;;;;;;;;x
ALS_ADJ;Alsatian ;;;;;;;;;;;;;
ALS_ADJ;Alsatian ;;;;;;;;;;;;;x
ALS_anarcho_liberal;Radical Arbeiterpartei;Arbeiterpartei radical;Radikale Arbeiterpartei;;;;;;;;;;;
ALS_anarcho_liberal;Radical Arbeiterpartei;Arbeiterpartei radical;Radikale Arbeiterpartei;;;;;;;;;;;;x;;;;;;;;;;;;;;
ALS_communist;Communist Arbeiterpartei;Arbeiterpartei communiste;Kommunistische Arbeiterpartei;;;;;;;;;;;
ALS_communist;Communist Arbeiterpartei;Arbeiterpartei communiste;Kommunistische Arbeiterpartei;;;;;;;;;;;;x;;;;;;;;;;;;;;
ALS_conservative;Zentrumspartei;Zentrumspartei;Zentrumspartei;;;;;;;;;;;
ALS_conservative;Zentrumspartei;Zentrumspartei;Zentrumspartei;;;;;;;;;;;;x;;;;;;;;;;;;;;
ALS_fascist;NSDP;NSDP;NSDP;;;;;;;;;;;
ALS_fascist;NSDP;NSDP;NSDP;;;;;;;;;;;;x;;;;;;;;;;;;;;
ALS_liberal;Liberaldem. Partei;Liberaldem. Partei;Liberaldem. Partei;;;;;;;;;;;
ALS_liberal;Liberaldem. Partei;Liberaldem. Partei;Liberaldem. Partei;;;;;;;;;;;;x;;;;;;;;;;;;;;
ALS_liberal_2;Nationalliberale ;Nationalliberale ;Nationalliberale ;;;;;;;;;;;
ALS_liberal_2;Nationalliberale ;Nationalliberale ;Nationalliberale ;;;;;;;;;;;;x;;;;;;;;;;;;;;
ALS_reactionary;Nationale Partei;Nationale Partei;Nationale Partei;;;;;;;;;;;
ALS_reactionary;Nationale Partei;Nationale Partei;Nationale Partei;;;;;;;;;;;;x;;;;;;;;;;;;;;
ALS_socialist;Deutscher Arbeiterverein;Deutscher Arbeiterverein;Deutscher Arbeiterverein;;;;;;;;;;;
ALS_socialist;Deutscher Arbeiterverein;Deutscher Arbeiterverein;Deutscher Arbeiterverein;;;;;;;;;;;;x;;;;;;;;;;;;;;
ALT;Altai Republic;;;;;;;;;;;;;
ALT;Altai Republic;;;;;;;;;;;;x
ALT_absolute_monarchy;Altai Union;;;;;;;;;;;;;
ALT_absolute_monarchy;Altai Union;;;;;;;;;;;;x
ALT_ADJ;Altaic;;;;;;;;;;;;;
ALT_ADJ;Altaic;;;;;;;;;;;;x
ALT_anarcho_liberal;The Libertains;Faction radicale;Die radikale Fraktion;;;;;;;;;;;
ALT_anarcho_liberal;The Libertains;Faction radicale;Die radikale Fraktion;;;;;;;;;;;x
ALT_communist;The Communists;Faction communiste;Die kommunistische Fraktion;;;;;;;;;;;
ALT_communist;The Communists;Faction communiste;Die kommunistische Fraktion;;;;;;;;;;;x
ALT_conservative;The Conservatives;Faction royale;Kˆnigsfraktion;;;;;;;;;;;
ALT_conservative;The Conservatives;Faction royale;Kˆnigsfraktion;;;;;;;;;;;x
ALT_fascist;The Mongolian Faction;Faction fasciste;Die faschistische Fraktion;;;;;;;;;;;
ALT_fascist;The Mongolian Faction;Faction fasciste;Die faschistische Fraktion;;;;;;;;;;;x
ALT_hms_government;Altai Union;;;;;;;;;;;;;
ALT_hms_government;Altai Union;;;;;;;;;;;;x
ALT_liberal;The Liberals;Faction libÈrale;Die liberale Fraktion;;;;;;;;;;;
ALT_liberal;The Liberals;Faction libÈrale;Die liberale Fraktion;;;;;;;;;;;x
ALT_prussian_constitutionalism;Altai Union;;;;;;;;;;;;;
ALT_prussian_constitutionalism;Altai Union;;;;;;;;;;;;x
ALT_reactionary;The Khanate Faction;Faction nationaliste;Die nationalistische Fraktion;;;;;;;;;;;
ALT_reactionary;The Khanate Faction;Faction nationaliste;Die nationalistische Fraktion;;;;;;;;;;;x
ALT_socialist;The Socialists;Faction socialiste;Die sozialistische Fraktion;;;;;;;;;;;
ALT_socialist;The Socialists;Faction socialiste;Die sozialistische Fraktion;;;;;;;;;;;x
AMA;Amazonas;;;;;;;;;;;;;x
AMA_ADJ;Amazonense;;;;;;;;;;;;;x
AMC;Confederation of the United States of America;;;;;;;;;;;;x
AMC_absolute_monarchy;Kingdom of America;;;;;;;;;;;;x 
AMC_ADJ;American;;;;;;;;;;;;x
AMC_fascist_dictatorship;American Union;;;;;;;;;;;;x 
AMC_hms_government;Kingdom of America;;;;;;;;;;;;x
AMC_proletarian_dictatorship;Union of Socialist States of America;;;;;;;;;;;;x
AMC_prussian_constitutionalism;Kingdom of America;;;;;;;;;;;;x 
AMP;Amap·;;;;;;;;;;;;;x
AMP_ADJ;Amapaense;;;;;;;;;;;;;x
AMR;United America;;;;;;;;;;;;;x
AMR_absolute_monarchy;Holy American Empire;;;;;;;;;;;;;x
AMR_ADJ;American;;;;;;;;;;;;;x
AMR_communist;People's Republic of America;;;;;;;;;;;;;x
AMR_democracy;United American Republic;;;;;;;;;;;;;x
AMR_fascist;Holy American State;;;;;;;;;;;;;x
AMR_hms_government;Holy Empire of America;;;;;;;;;;;;;x
AMR_prussian_constitutionalism;Holy American Empire;;;;;;;;;;;;;x
ANG;Angola;;;;;;;;;;;;;
ANG;Angola;;;;;;;;;;;;x
ANG_ADJ;Angolan;;;;;;;;;;;;;
ANG_ADJ;Angolan;;;;;;;;;;;;x
ANG_anarcho_liberal;Radical-Liberal Party of Angola;;;;;;;;;;;;;
ANG_communist;MPLA;;;;;;;;;;;;;
ANG_conservative;FNLA;;;;;;;;;;;;;
ANG_fascist;Fascist Party of Angola;;;;;;;;;;;;;
ANG_liberal;Liberal Democratic Party;;;;;;;;;;;;;
ANG_reactionary;UNITA;;;;;;;;;;;;;
ANG_socialist;Social Renewal Party;;;;;;;;;;;;;
ANI;Antilles Confederation;Republic of Antillia;Republic of Antillia;;Republic of Antillia;;;;;;;;;
ANI;Antilles Confederation;Republic of Antillia;Republic of Antillia;;Republic of Antillia;;;;;;;;;x
ANI_absolute_monarchy;Antillean Empire;Empire of Antillia;Empire of Antillia;;Empire of Antillia;;;;;;;;;
ANI_absolute_monarchy;Antillean Empire;Empire of Antillia;Empire of Antillia;;Empire of Antillia;;;;;;;;;x ;
ANI_ADJ;Antillean;Antillean;Antillean;;Antillean;;;;;;;;;
ANI_ADJ;Antillean;Antillean;Antillean;;Antillean;;;;;;;;;x
ANI_bourgeois_dictatorship;Antillean Republic;Pirates of the Caribbean;Pirates of the Caribbean;Pirates of the Caribbean;;;;;;;;;x ;
ANI_fascist_dictatorship;Antillean Republic;the Black Isles;the Black Isles;;the Black Isles;;;;;;;;;
ANI_fascist_dictatorship;Antillean Republic;the Black Isles;the Black Isles;;the Black Isles;;;;;;;;;x ;
ANI_presidential_dictatorship;Antillean Republic;Republic of Antillia;Republic of Antillia;;Republic of Antillia;;;;;;;;;
ANI_presidential_dictatorship;Antillean Republic;Republic of Antillia;Republic of Antillia;;Republic of Antillia;;;;;;;;;x ;
ANI_proletarian_dictatorship;Antillean Republic;the Red Indies;the Red Indies;;the Red Indies;;;;;;;;;
ANI_proletarian_dictatorship;Antillean Republic;the Red Indies;the Red Indies;;the Red Indies;;;;;;;;;x ;
ANT;Antigua;;;;;;;;;;;;;
ANT;Antigua;;;;;;;;;;;;x
ANT_ADJ;Antiguan;;;;;;;;;;;;;
ANT_ADJ;Antiguan;;;;;;;;;;;;x
AOT;Aotearoa;Aotearoa;Aotearoa;;;;;;;;;;;
AOT;Aotearoa;Aotearoa;Aotearoa;;;;;;;;;;;x
AOT_ADJ;Maori;Maori;Maori;;;;;;;;;;;
AOT_ADJ;Maori;Maori;Maori;;;;;;;;;;;x
AOT_anarcho_liberal;Mana Maori Motuhake;Mana Maori Motuhake;Mana Maori Motuhake;;;;;;;;;;;
AOT_anarcho_liberal;Mana Maori Motuhake;Mana Maori Motuhake;Mana Maori Motuhake;;;;;;;;;;;x
AOT_communist;Toputanga-a-iwi;Toputanga-a-iwi;Toputanga-a-iwi;;;;;;;;;;;
AOT_communist;Toputanga-a-iwi;Toputanga-a-iwi;Toputanga-a-iwi;;;;;;;;;;;x
AOT_conservative;Kingitanga;Kingitanga;Kingitanga;;;;;;;;;;;
AOT_conservative;Kingitanga;Kingitanga;Kingitanga;;;;;;;;;;;x
AOT_fascist;Kawanatanga Whakahawini;Kawanatanga Whakahawini;Kawanatanga Whakahawini;;;;;;;;;;;
AOT_fascist;Kawanatanga Whakahawini;Kawanatanga Whakahawini;Kawanatanga Whakahawini;;;;;;;;;;;x
AOT_liberal;Ropu o te Rangatahi;Ropu o te Rangatahi;Ropu o te Rangatahi;;;;;;;;;;;
AOT_liberal;Ropu o te Rangatahi;Ropu o te Rangatahi;Ropu o te Rangatahi;;;;;;;;;;;x
AOT_reactionary;Kauhanganui;Kauhanganui;Kauhanganui;;;;;;;;;;;
AOT_reactionary;Kauhanganui;Kauhanganui;Kauhanganui;;;;;;;;;;;x
AOT_socialist;Ratana;Ratana;Ratana;;;;;;;;;;;
AOT_socialist;Ratana;Ratana;Ratana;;;;;;;;;;;x
ARA;Arabia;;;;;;;;;;;;;
ARA;Arabia;;;;;;;;;;;x
ARA_absolute_monarchy;Kingdom of the Arabs;;;;;;;;;;;x
ARA_ADJ;Arabian;;;;;;;;;;;;;
ARA_ADJ;Arabian;;;;;;;;;;;x 
ARA_anarcho_liberal;Al Anarkiliberali;;;;;;;;;;;;;
ARA_communist;Al Shiu'i;;;;;;;;;;;;;
ARA_conservative;Al Muhafidh;;;;;;;;;;;;;
ARA_democracy;Arabian Republic;;;;;;;;;;;x
ARA_fascist;Al Fashi;;;;;;;;;;;;;
ARA_fascist_dictatorship;State of Arabia;;;;;;;;;;;x 
ARA_hms_government;Kingdom of the Arabs;;;;;;;;;;;x
ARA_liberal;Al Mutaharir;;;;;;;;;;;;;
ARA_presidential_dictatorship;Arabian Republic;;;;;;;;;;;x
ARA_proletarian_democracy;Union of Arabia;;;;;;;;;;;x 
ARA_proletarian_dictatorship;Union of Arabia;;;;;;;;;;;x 
ARA_prussian_constitutionalism;Kingdom of the Arabs;;;;;;;;;;;x
ARA_reactionary2;Al Rashid;;;;;;;;;;;;;
ARA_reactionary;Al Sa'ud;;;;;;;;;;;;;
ARA_socialist;Al Ishtiraki;;;;;;;;;;;;;
ARB;Arabia;;;;;;;;;;;;x
ARB_ADJ;Arabian;;;;;;;;;;;;x
ARB_anarcho_liberal;Al Anarkiliberali;;;;;;;;;;;;;x
ARB_bourgeois_dictatorship;Arab Republic;;;;;;;;;;;;x
ARB_communist;Al Shiu'i;;;;;;;;;;;;;x
ARB_conservative;Al Muhafidh;;;;;;;;;;;;;x
ARB_democracy;Arab Republic;;;;;;;;;;;;x
ARB_fascist;Al Fashi;;;;;;;;;;;;;x
ARB_fascist_dictatorship;Free Arab State;;;;;;;;;;;;x
ARB_liberal;Al Mutaharir;;;;;;;;;;;;;x
ARB_proletarian_dictatorship;Arab Republic;;;;;;;;;;;;x
ARB_reactionary2;Al Rashid;;;;;;;;;;;;;x
ARB_reactionary;Al Sa'ud;;;;;;;;;;;;;x
ARB_socialist;Al Ishtiraki;;;;;;;;;;;;;x
ARC;Argentina;;;;;;;;;;;;;
ARC_ADJ;Argentinian;;;;;;;;;;;;;
ARC_democracy;Argentine Confederation;;;;;;;;;;;;;
ARC_presidential_dictatorship;Argentine Confederation;;;;;;;;;;;;;
ARC_proletarian_dictatorship;Communist Federation of Argentina;;;;;;;;;;;;;
ARC_reactionary;Sociedad Popular Restauradora;;;;;;;;;;;;;
ARO;Aro;Aro;Aro;;Aro;;;;;;;;;
ARO;Aro;Aro;Aro;;Aro;;;;;;;;;;x;;;;;;;;;;;;;;
ARO_ADJ;Aro;Aro;Aro;;;;;;;;;;;
ARO_ADJ;Aro;Aro;Aro;;;;;;;;;;;;x;;;;;;;;;;;;;;
ARO_anarcho_liberal;Radical Faction;Faction radicale;Die radikale Fraktion;;;;;;;;;;;
ARO_anarcho_liberal;Radical Faction;Faction radicale;Die radikale Fraktion;;;;;;;;;;;;x;;;;;;;;;;;;;;
ARO_bourgeois_dictatorship;Biafra;Biafra;Biafra;;Biafra;;;;;;;;;
ARO_bourgeois_dictatorship;Biafra;Biafra;Biafra;;Biafra;;;;;;;;;x;;;;;;;;;;;;;;
ARO_bourgeois_dictatorship_ADJ;Biafran;Biafraise;Biafran;;biafreÒo;;;;;;;;;
ARO_bourgeois_dictatorship_ADJ;Biafran;Biafraise;Biafran;;biafreÒo;;;;;;;;;x
ARO_communist;Communist Faction;Faction communiste;Die kommunistische Fraktion;;;;;;;;;;;
ARO_communist;Communist Faction;Faction communiste;Die kommunistische Fraktion;;;;;;;;;;;;x;;;;;;;;;;;;;;
ARO_conservative;Eze Aro Faction;Faction Eze Aro;Eze Aro Fraktion;;;;;;;;;;;
ARO_conservative;Eze Aro Faction;Faction Eze Aro;Eze Aro Fraktion;;;;;;;;;;;;x;;;;;;;;;;;;;;
ARO_democracy;Biafra;Biafra;Biafra;;Biafra;;;;;;;;;
ARO_democracy;Biafra;Biafra;Biafra;;Biafra;;;;;;;;;x;;;;;;;;;;;;;;
ARO_democracy_ADJ;Biafran;Biafraise;Biafran;;biafreÒo;;;;;;;;;
ARO_democracy_ADJ;Biafran;Biafraise;Biafran;;biafreÒo;;;;;;;;;x
ARO_fascist;Fascist Faction;Faction fasciste;Die faschistische Fraktion;;;;;;;;;;;
ARO_fascist;Fascist Faction;Faction fasciste;Die faschistische Fraktion;;;;;;;;;;;;x;;;;;;;;;;;;;;
ARO_fascist_dictatorship;Biafra;Biafra;Biafra;;Biafra;;;;;;;;;
ARO_fascist_dictatorship;Biafra;Biafra;Biafra;;Biafra;;;;;;;;;x;;;;;;;;;;;;;;
ARO_fascist_dictatorship_ADJ;Biafran;Biafraise;Biafran;;biafreÒo;;;;;;;;;
ARO_fascist_dictatorship_ADJ;Biafran;Biafraise;Biafran;;biafreÒo;;;;;;;;;x
ARO_liberal;Reform Faction;Faction de rÈforme;Verbesserung Fraktion;;;;;;;;;;;
ARO_liberal;Reform Faction;Faction de rÈforme;Verbesserung Fraktion;;;;;;;;;;;;x;;;;;;;;;;;;;;
ARO_presidential_dictatorship;Biafra;Biafra;Biafra;;Biafra;;;;;;;;;
ARO_presidential_dictatorship;Biafra;Biafra;Biafra;;Biafra;;;;;;;;;x;;;;;;;;;;;;;;
ARO_presidential_dictatorship_ADJ;Biafran;Biafraise;Biafran;;biafreÒo;;;;;;;;;
ARO_presidential_dictatorship_ADJ;Biafran;Biafraise;Biafran;;biafreÒo;;;;;;;;;x
ARO_proletarian_dictatorship;Biafra;Biafra;Biafra;;Biafra;;;;;;;;;
ARO_proletarian_dictatorship;Biafra;Biafra;Biafra;;Biafra;;;;;;;;;x;;;;;;;;;;;;;;
ARO_proletarian_dictatorship_ADJ;Biafran;Biafraise;Biafran;;biafreÒo;;;;;;;;;
ARO_proletarian_dictatorship_ADJ;Biafran;Biafraise;Biafran;;biafreÒo;;;;;;;;;x
ARO_reactionary;Empire Faction;Faction d'empire;Reich Fraktion;;;;;;;;;;;
ARO_reactionary;Empire Faction;Faction d'empire;Reich Fraktion;;;;;;;;;;;;x;;;;;;;;;;;;;;
ARO_socialist;Socialist Faction;Faction socialiste;Die sozialistische Fraktion;;;;;;;;;;;
ARO_socialist;Socialist Faction;Faction socialiste;Die sozialistische Fraktion;;;;;;;;;;;;x;;;;;;;;;;;;;;
ARU;Arab Union;;;;;;;;;;;;;
ARU;Arab Union;;;;;;;;;;;;;x
ARU_ADJ;Arabic;;;;;;;;;;;;;
ARU_ADJ;Arabic;;;;;;;;;;;;;x
ARU_bourgeois_dictatorship;Arab Republic;;;;;;;;;;;;;
ARU_bourgeois_dictatorship;The Arab Republic;;;;;;;;;;;;;x
ARU_democracy;The United Arab Republic;;;;;;;;;;;;;x
ARU_democracy;United Arab States;;;;;;;;;;;;;
ARU_fascist_dictatorship;Arab Republic;;;;;;;;;;;;;
ARU_fascist_dictatorship;The Arab Republic;;;;;;;;;;;;;x
ARU_presidential_dictatorship;Arab Republic;;;;;;;;;;;;;
ARU_presidential_dictatorship;The Arab Republic;;;;;;;;;;;;;x
ARU_proletarian_dictatorship;Arab People's Republic;;;;;;;;;;;;;
ARU_proletarian_dictatorship;The Arab People's Republic;;;;;;;;;;;;;x
ASH;Ashanti;Ashanti;Aschanti;;Asantia;;;;;;;;;
ASH;Ashanti;Ashanti;Aschanti;;Asantia;;;;;;;;;;x;;;;;;;;;;;;;;
ASH_ADJ;Ashanti;Ashanti;Aschanti;;;;;;;;;;;
ASH_ADJ;Ashanti;Ashanti;Aschanti;;;;;;;;;;;;x;;;;;;;;;;;;;;
ASH_anarcho_liberal;Progress Party;;;;;;;;;;;;;
ASH_anarcho_liberal;Radical Faction;Faction radicale;Die radikale Fraktion;;;;;;;;;;;;x;;;;;;;;;;;;;;
ASH_bourgeois_dictatorship;Ghana;Ghana;Ghana;;Ghana;;;;;;;;;x;;;;;;;;;;;;;;
ASH_bourgeois_dictatorship_ADJ;Ghanaian;Ghanaian;Ghanaisch;;GhanÈs;;;;;;;;;x
ASH_communist;Communist Faction;Faction communiste;Die kommunistische Fraktion;;;;;;;;;;;;x;;;;;;;;;;;;;;
ASH_communist;Convention People's Party;;;;;;;;;;;;;
ASH_conservative;Royal Faction;Faction royale;Kˆnigsfraktion;;;;;;;;;;;
ASH_conservative;Royal Faction;Faction royale;Kˆnigsfraktion;;;;;;;;;;;;x;;;;;;;;;;;;;;
ASH_conservative_2;National Liberation Movement;;;;;;;;;;;;;
ASH_democracy;Ghana;Ghana;Ghana;;Ghana;;;;;;;;;x;;;;;;;;;;;;;;
ASH_democracy_ADJ;Ghanaian;Ghanaian;Ghanaisch;;GhanÈs;;;;;;;;;x
ASH_fascist;Fascist Faction;Faction fasciste;Die faschistische Fraktion;;;;;;;;;;;;x;;;;;;;;;;;;;;
ASH_fascist;Popular Front Party;;;;;;;;;;;;;
ASH_fascist_dictatorship;Ghana;Ghana;Ghana;;Ghana;;;;;;;;;x;;;;;;;;;;;;;;
ASH_fascist_dictatorship_ADJ;Ghanaian;Ghanaian;Ghanaisch;;GhanÈs;;;;;;;;;x
ASH_liberal;Reform Faction;Faction de rÈforme;Verbesserung Fraktion;;;;;;;;;;;
ASH_liberal;Reform Faction;Faction de rÈforme;Verbesserung Fraktion;;;;;;;;;;;;x;;;;;;;;;;;;;;
ASH_liberal_2;United Gold Coast Convention;;;;;;;;;;;;;
ASH_presidential_dictatorship;Ghana;Ghana;Ghana;;Ghana;;;;;;;;;x;;;;;;;;;;;;;;
ASH_presidential_dictatorship_ADJ;Ghanaian;Ghanaian;Ghanaisch;;GhanÈs;;;;;;;;;x
ASH_proletarian_dictatorship;Ghana;Ghana;Ghana;;Ghana;;;;;;;;;x;;;;;;;;;;;;;;
ASH_proletarian_dictatorship_ADJ;Ghanaian;Ghanaian;Ghanaisch;;GhanÈs;;;;;;;;;x
ASH_reactionary;Empire Faction;Faction d'empire;Reich Fraktion;;;;;;;;;;;
ASH_reactionary;Empire Faction;Faction d'empire;Reich Fraktion;;;;;;;;;;;;x;;;;;;;;;;;;;;
ASH_reactionary_2;National Liberation Council;;;;;;;;;;;;;
ASH_socialist;Ghana Congress Party;;;;;;;;;;;;;
ASH_socialist;Socialist Faction;Faction socialiste;Die sozialistische Fraktion;;;;;;;;;;;;x;;;;;;;;;;;;;;
ASM;Assam;;;;;;;;;;;;;
ASM;Assam;;;;;;;;;;;;x
ASM_ADJ;Assamese;;;;;;;;;;;;;
ASM_ADJ;Assamese;;;;;;;;;;;;x
ASM_anarcho_liberal;The Radical Faction;;;;;;;;;;;;;
ASM_anarcho_liberal;The Radical Faction;;;;;;;;;;;;x
ASM_bourgeois_dictatorship;Assamese Republic;;;;;;;;;;;;;
ASM_bourgeois_dictatorship;Assamese Republic;;;;;;;;;;;;x
ASM_communist;The Communist Faction;;;;;;;;;;;;;
ASM_communist;The Communist Faction;;;;;;;;;;;;x
ASM_conservative;Royal Faction;;;;;;;;;;;;;
ASM_conservative;Royal Faction;;;;;;;;;;;;x
ASM_fascist;The Fascist Faction;;;;;;;;;;;;;
ASM_fascist;The Fascist Faction;;;;;;;;;;;;x
ASM_fascist_dictatorship;Assamese Republic;;;;;;;;;;;;;
ASM_fascist_dictatorship;Assamese Republic;;;;;;;;;;;;x
ASM_liberal;The Liberal Faction;;;;;;;;;;;;;
